"localidad_id","localidad_nombre","localidad_centroide_lat","localidad_centroide_lon","provincia_id","provincia_nombre","departamento_id","departamento_nombre","municipio_id","municipio_nombre","localidad_censal_id","localidad_censal_nombre","localidad_categoria"
"82042300","Villa Cañás",-34.0042771998924,-61.6058282845616,"82","Santa Fe","82042","General López","820084","Villa Cañás","82042300","Villa Cañás","Localidad simple"
"82042270","Santa Isabel",-33.8876581822352,-61.6959373296916,"82","Santa Fe","82042","General López","822742","Santa Isabel","82042270","Santa Isabel","Localidad simple"
"82042260","Sancti Spiritu",-34.0077256422035,-62.2415412953365,"82","Santa Fe","82042","General López","822735","Sancti Spiritu","82042260","Sancti Spiritu","Localidad simple"
"82042310","Wheelwright",-33.79230943217,-61.2106951750694,"82","Santa Fe","82042","General López","822756","Wheelwright","82042310","Wheelwright","Localidad simple"
"82042250","San Gregorio",-34.3253785024948,-62.0358132414126,"82","Santa Fe","82042","General López","822728","San Gregorio","82042250","San Gregorio","Localidad simple"
"82042230","San Eduardo",-33.8712462134573,-62.0889258795741,"82","Santa Fe","82042","General López","822714","San Eduardo","82042230","San Eduardo","Localidad simple"
"82049100","La Sarita",-28.9728290317255,-59.8488371729784,"82","Santa Fe","82049","General Obligado","822819","La Sarita","82049100","La Sarita","Localidad simple"
"82049060","Florencia",-28.0406318158628,-59.2180147556736,"82","Santa Fe","82049","General Obligado","820095","Florencia","82049060","Florencia","Localidad simple"
"82049140","Los Laureles",-29.3686478129094,-59.7361917149176,"82","Santa Fe","82049","General Obligado","822840","Los Laureles","82049140","Los Laureles","Localidad simple"
"82049020","Avellaneda",-29.1175214810381,-59.6584720787821,"82","Santa Fe","82049","General Obligado","820091","Avellaneda","82049020","Avellaneda","Componente de localidad compuesta"
"82049040","El Araza",-29.1329996980097,-59.9475820089713,"82","Santa Fe","82049","General Obligado","822777","El Araza","82049040","El Araza","Localidad simple"
"82049180","Reconquista",-29.1445173299237,-59.6435478986104,"82","Santa Fe","82049","General Obligado","820112","Reconquista","82049180","Reconquista","Componente de localidad compuesta"
"82049190","San Antonio de Obligado",-28.3842534518135,-59.2643877245439,"82","Santa Fe","82049","General Obligado","822854","San Antonio de Obligado","82049190","San Antonio de Obligado","Localidad simple"
"82049010","Arroyo Ceibal",-28.7230812436559,-59.4776976866332,"82","Santa Fe","82049","General Obligado","822763","Arroyo Ceibal","82049010","Arroyo Ceibal","Localidad simple"
"82049070","Guadalupe Norte",-28.9450535978396,-59.5636259310249,"82","Santa Fe","82049","General Obligado","822805","Guadalupe Norte","82049070","Guadalupe Norte","Localidad simple"
"82049080","Ingeniero Chanourdie",-28.7598125278448,-59.5772332721616,"82","Santa Fe","82049","General Obligado","822812","Ingeniero Chanourdie","82049080","Ingeniero Chanourdie","Localidad simple"
"82049050","El Rabón",-28.2211776099941,-59.2642198971569,"82","Santa Fe","82049","General Obligado","822784","El Rabón","82049050","El Rabón","Localidad simple"
"82049110","Lanteri",-28.8400067339902,-59.6351942811771,"82","Santa Fe","82049","General Obligado","822826","Lanteri","82049110","Lanteri","Localidad simple"
"82056050","Classon",-32.4623773523095,-61.2903951726398,"82","Santa Fe","82056","Iriondo","822896","Classon","82056050","Classon","Localidad simple"
"82049200","Tacuarendí",-28.417846866381,-59.2572259918044,"82","Santa Fe","82049","General Obligado","822861","Tacuarendi","82049200","Tacuarendi","Localidad simple"
"82049090","La Isleta",-28.4921695581722,-59.294192674801,"82","Santa Fe","82049","General Obligado","820119","Villa Ocampo","82049090","La Isleta","Localidad simple"
"82049150","Malabrigo",-29.3487955627013,-59.9699052577942,"82","Santa Fe","82049","General Obligado","820105","Malabrigo","82049150","Malabrigo","Localidad simple"
"82049160","Paraje San Manuel",-28.8736092974744,-59.8659812590545,"82","Santa Fe","82049","General Obligado","822819","La Sarita","82049160","Paraje San Manuel","Localidad simple"
"82049210","Villa Ana",-28.492662372008,-59.6133285645851,"82","Santa Fe","82049","General Obligado","822868","Villa Ana","82049210","Villa Ana","Localidad simple"
"82049130","Las Toscas",-28.3548928359752,-59.2593016748146,"82","Santa Fe","82049","General Obligado","820098","Las Toscas","82049130","Las Toscas","Localidad simple"
"82049230","Villa Ocampo",-28.4867726127175,-59.3547473252942,"82","Santa Fe","82049","General Obligado","820119","Villa Ocampo","82049230","Villa Ocampo","Localidad simple"
"82049220","Villa Guillermina",-28.2445243528436,-59.4514812904741,"82","Santa Fe","82049","General Obligado","822875","Villa Guillermina","82049220","Villa Guillermina","Localidad simple"
"82049120","Las Garzas",-28.8471373739071,-59.4996545959492,"82","Santa Fe","82049","General Obligado","822833","Las Garzas","82049120","Las Garzas","Localidad simple"
"82049030","Berna",-29.2726680150419,-59.8453110954468,"82","Santa Fe","82049","General Obligado","822770","Berna","82049030","Berna","Localidad simple"
"82049170","Puerto Reconquista",-29.2337532984465,-59.5810401119851,"82","Santa Fe","82049","General Obligado","820112","Reconquista","82049170","Puerto Reconquista","Localidad simple"
"82070310","Sarmiento",-31.0588068148206,-61.1671974799289,"82","Santa Fe","82070","Las Colonias","823267","Sarmiento","82070310","Sarmiento","Localidad simple"
"82056160","Villa La Rivera (Oliveros)",-32.6349730637308,-60.8202265666262,"82","Santa Fe","82056","Iriondo","822917","Oliveros","82056160","Villa La Ribera (Oliveros)","Componente de localidad compuesta"
"82056170","Villa La Rivera (Pueblo Andino)",-32.6388659356076,-60.8226652162287,"82","Santa Fe","82056","Iriondo","822924","Pueblo Andino","82056170","Villa La Ribera (Pueblo Andino)","Componente de localidad compuesta"
"82056070","Correa",-32.8486177247202,-61.2544973435105,"82","Santa Fe","82056","Iriondo","822903","Correa","82056070","Correa","Localidad simple"
"82056060","Colonia Médici",-32.5975464245976,-61.3779651267946,"82","Santa Fe","82056","Iriondo","822882","Bustinza","82056060","Colonia Médici","Localidad simple"
"82056110","Pueblo Andino",-32.6699421082672,-60.8753783738369,"82","Santa Fe","82056","Iriondo","822924","Pueblo Andino","82056110","Pueblo Andino","Localidad simple"
"82056030","Cañada de Gómez",-32.8212161641876,-61.3951986808447,"82","Santa Fe","82056","Iriondo","820126","Cañada de Gómez","82056030","Cañada de Gómez","Localidad simple"
"82056150","Villa Eloísa",-32.9638882646234,-61.5510135195736,"82","Santa Fe","82056","Iriondo","822945","Villa Eloísa","82056150","Villa Eloísa","Localidad simple"
"82056120","Salto Grande",-32.6660588029387,-61.0882080982879,"82","Santa Fe","82056","Iriondo","822931","Salto Grande","82056120","Salto Grande","Localidad simple"
"82056080","Larguía",-32.5519832443993,-61.2185806478785,"82","Santa Fe","82056","Iriondo","820133","Totoras","82056080","Larguía","Localidad simple"
"82056040","Carrizales",-32.5087389329534,-61.0322035764827,"82","Santa Fe","82056","Iriondo","822889","Carrizales","82056040","Carrizales","Localidad simple"
"82056010","Barrio Cicarelli",-32.6083088053541,-61.3241858495052,"82","Santa Fe","82056","Iriondo","820133","Totoras","82056010","Barrio Cicarelli","Localidad simple"
"82056020","Bustinza",-32.7382426386282,-61.2908199558191,"82","Santa Fe","82056","Iriondo","822882","Bustinza","82056020","Bustinza","Localidad simple"
"82056100","Oliveros",-32.5739334256463,-60.8546423192064,"82","Santa Fe","82056","Iriondo","822917","Oliveros","82056100","Oliveros","Localidad simple"
"82056090","Lucio V. López",-32.7153962408456,-61.0174588271492,"82","Santa Fe","82056","Iriondo","822910","Lucio V. López","82056090","Lucio V. López","Localidad simple"
"82056140","Totoras",-32.5842724902691,-61.1666997390063,"82","Santa Fe","82056","Iriondo","820133","Totoras","82056140","Totoras","Localidad simple"
"82063030","Arroyo Leyes",-31.558725563739,-60.5175080046711,"82","Santa Fe","82063","La Capital","822959","Arroyo Leyes","82063030","Arroyo Leyes","Componente de localidad compuesta"
"82063120","Paraje Chaco Chico",-31.5665071502413,-60.6615195422776,"82","Santa Fe","82063","La Capital","823001","Monte Vera","82063120","Paraje Chaco Chico","Localidad simple"
"82063170","Santa Fe",-31.6574749533861,-60.7104784410123,"82","Santa Fe","82063","La Capital","820147","Santa Fe","82063170","Santa Fe","Componente de localidad compuesta"
"82063080","Laguna Paiva",-31.3073577549174,-60.6599224679659,"82","Santa Fe","82063","La Capital","820140","Laguna Paiva","82063080","Laguna Paiva","Localidad simple"
"82063050","Campo Andino",-31.2390549183719,-60.5298070316869,"82","Santa Fe","82063","La Capital","822973","Campo Andino","82063050","Campo Andino","Localidad simple"
"82063110","Nelson",-31.2658325064826,-60.7644507999057,"82","Santa Fe","82063","La Capital","823008","Nelson","82063110","Nelson","Localidad simple"
"82063090","Llambi Campbell",-31.1841834739127,-60.7476804302059,"82","Santa Fe","82063","La Capital","822994","Llambí Campbell","82063090","Llambi Campbell","Localidad simple"
"82063010","Angel Gallardo",-31.5558263149001,-60.678416469082,"82","Santa Fe","82063","La Capital","823001","Monte Vera","82063010","Angel Gallardo","Localidad simple"
"82063070","Emilia",-31.0590191161974,-60.7449082069823,"82","Santa Fe","82063","La Capital","822987","Emilia","82063070","Emilia","Localidad simple"
"82063150","Rincón Potrero",-31.5289972020988,-60.4799970669308,"82","Santa Fe","82063","La Capital","822959","Arroyo Leyes","82063150","Rincón Potrero","Localidad simple"
"82063160","San José del Rincón",-31.6065059123067,-60.5674419427924,"82","Santa Fe","82063","La Capital","820143","San José del Rincón","82063160","San José del Rincón","Componente de localidad compuesta"
"82063180","Santo Tomé",-31.6630187544955,-60.7617223055433,"82","Santa Fe","82063","La Capital","820154","Santo Tomé","82063180","Santo Tomé","Componente de localidad compuesta"
"82063200","Villa Laura",-31.3720648988493,-60.662292610109,"82","Santa Fe","82063","La Capital","822952","Arroyo Aguiar","82063200","Villa Laura","Localidad simple"
"82063140","Recreo",-31.4908931095921,-60.7354488696804,"82","Santa Fe","82063","La Capital","820142","Recreo","82063140","Recreo","Componente de localidad compuesta"
"82063020","Arroyo Aguiar",-31.4320871377067,-60.6679312268466,"82","Santa Fe","82063","La Capital","822952","Arroyo Aguiar","82063020","Arroyo Aguiar","Localidad simple"
"82063190","Sauce Viejo",-31.7710935030777,-60.8371436848116,"82","Santa Fe","82063","La Capital","820158","Sauce Viejo","82063190","Sauce Viejo","Componente de localidad compuesta"
"82063100","Monte Vera",-31.5168015662579,-60.6786765037235,"82","Santa Fe","82063","La Capital","823001","Monte Vera","82063100","Monte Vera","Localidad simple"
"82063130","Paraje La Costa",-31.5153554159097,-60.6132114843972,"82","Santa Fe","82063","La Capital","823001","Monte Vera","82063130","Paraje La Costa","Localidad simple"
"82063060","Candioti",-31.4013903523262,-60.748981610734,"82","Santa Fe","82063","La Capital","822980","Candioti","82063060","Candioti","Localidad simple"
"82063040","Cabal",-31.1039907528184,-60.7271518449152,"82","Santa Fe","82063","La Capital","822966","Cabal","82063040","Cabal","Localidad simple"
"82070040","Empalme San Carlos",-31.5477048152486,-60.8137126653718,"82","Santa Fe","82070","Las Colonias","823064","Empalme San Carlos","82070040","Empalme San Carlos","Localidad simple"
"82070050","Esperanza",-31.4488900966564,-60.9301528760774,"82","Santa Fe","82070","Las Colonias","820161","Esperanza","82070050","Esperanza","Localidad simple"
"82070080","Grutly",-31.2686901160947,-61.071972167969,"82","Santa Fe","82070","Las Colonias","823085","Grutly","82070080","Grutly","Localidad simple"
